商品名称,商品价格,商品编码,tokens,keywords
金菜花菜子油,24,101,金 菜花 菜子油,金:1.82682517043272 菜花:2.051401535333668 菜子油:2.051401535333668
康师傅甜酥饼干,79,101,康师傅 甜 酥 饼干,甜:1.457195551391594 酥:1.4127752570822307 饼干:1.3056616004990151
孔乙己清爽型特酿黄酒,35,101,孔乙己 清爽型 特酿 黄酒,清爽型:1.4945784848843349 特酿:1.471485154851581 黄酒:1.4503458078445655
哙哙旗舰店森蜂园东北黑蜂椴树蜂蜜,75,101,哙 哙 旗舰店 森蜂园 东北 黑蜂 椴树 蜂蜜,黑蜂:0.7741781648942856 椴树:0.7692755757501255 蜂蜜:0.7093289407173897
拉簧座六角手柄长,32,101,拉簧 座 六角 手柄 长,拉簧:1.195662787907468 手柄:1.1124307084624856 长:1.100055627718868
利莲黄金奇异果礼盒,40,101,利莲 黄金 奇异果 礼盒,黄金:1.4789483956390015 奇异果:1.5027759405900827 礼盒:1.1230800545485902
玛莉安妮牌半颗蔓越莓干,34,101,玛莉 安妮 牌 半颗 蔓越莓 干,玛莉:0.9910942068704599 牌:0.8891272833527943 蔓越莓:0.9809901032343873
模板固定支架,20,101,模板 固定 支架,模板:1.9927713131791132 固定:1.5990602090604087 支架:1.5416031337468132
年糕杨紫甘薯,79,101,年糕 杨紫 甘薯,年糕:2.038821426006052 杨紫:2.038821426006052 甘薯:2.038821426006052
起转申刻动平衡皮带,75,101,起转 申刻 动平衡 皮带,起转:1.5200241584618204 申刻:1.5200241584618204 皮带:1.3852750332786488
全无敌电热蚊香液无香送,77,101,全 无敌 电热 蚊香 液无香 送,电热:0.9581232496488066 蚊香:0.9581232496488066 送:0.8447492870281336
速杀蟑尔剂盒,28,101,速杀 蟑尔剂 盒,速杀:1.9719311941853352 蟑尔剂:1.9719311941853352 盒:1.2115496069332763
太平猴魁绿茶,75,101,太平 猴魁 绿茶,太平:1.9619802064687746 猴魁:1.9619802064687746 绿茶:1.8612199158444636
唐人神常德酱板鸭,71,101,唐人 神 常德 酱 板鸭,神:1.1831587165112012 酱:1.1397458154636355 板鸭:1.1831587165112012
天地粮人有机十谷米,30,101,天地 粮人 有机 十谷米,天地:1.471485154851581 粮人:1.48664131030569 有机:1.4503458078445655
威王除重垢洁厕净,77,101,威王 重垢洁 厕净,威王:1.9927713131791132 重垢洁:2.0037012541201102 厕净:1.9821884137409198
西夫拉姆树龄干红葡萄酒,34,101,西夫 拉姆 树龄 干红 葡萄酒,西夫:1.2232928556036313 树龄:1.2232928556036313 葡萄酒:1.0538332835261908
新奇实用礼品情人节礼物送女友玫瑰香皂花礼盒,79,101,新奇 实用 礼品 情人节 礼物 送 女友 玫瑰 香皂 花 礼盒,送:0.46077233837898196 香皂:0.5137364571208112 花:0.5158755932490107
鑫成基SOGA金边彩色小果斗,39,101,鑫 成基 SOGA 金边 彩色 小果 斗,鑫:0.8367075832190102 金边:0.8408486599151891 斗:0.8408486599151891
许氏113#花旗参,31,101,许氏 113 花旗参,许氏:2.038821426006052 113:2.038821426006052 花旗参:2.038821426006052
炫迈夹心口香糖,29,101,炫迈 夹心 口香糖,炫迈:2.015001771345337 夹心:1.5098330738120382 口香糖:1.9619802064687746
燕赵衡湖烤鸭蛋美味组,26,101,燕赵 衡湖 烤鸭 蛋 美味 组,衡湖:1.0018506270600551 蛋:0.9963856565895566 美味:0.9910942068704599
伊利安慕希希腊风味酸奶,77,101,伊利 安慕希 希腊 风味 酸奶,希腊:1.2022207524720663 风味:1.125622302020845 酸奶:1.1602766462756524
玉蝴蝶针织裤,35,101,玉 蝴蝶 针织 裤,蝴蝶:1.471485154851581 针织:1.407027877526056 裤:1.277059012704579
长袖T恤布朗熊,25,101,长袖 T恤 布朗 熊,长袖:1.2703919509340387 布朗:1.457195551391594 熊:1.4503458078445655
贝蒂斯双瓶礼盒橄榄油,42,101,贝蒂斯 双瓶 礼盒 橄榄油,贝蒂斯:1.4945784848843349 礼盒:1.1230800545485902 橄榄油:1.4503458078445655
不锈钢厨门拉手,77,101,不锈钢 厨 门拉手,不锈钢:1.4457091095962196 厨:2.0266988779490935 门拉手:2.0266988779490935
柴烧小福鹿正山小种,74,101,柴烧 小福鹿 正山 小种,柴烧:1.511251328509003 正山:1.5027759405900827 小种:1.5027759405900827
川汉子麻辣牛肉干,29,101,川 汉子 麻辣 牛肉干,汉子:1.471485154851581 麻辣:1.4186578814347794 牛肉干:1.4789483956390015
胆碱脂酶试剂盒,31,101,胆碱 脂酶 试剂盒,胆碱:2.015001771345337 脂酶:2.015001771345337 试剂盒:1.8203524751470195
等长双头螺柱,28,101,等长 双头 螺柱,等长:1.9719311941853352 双头:1.854051180770809 螺柱:1.9927713131791132
港伦豆沙月饼,25,101,港伦 豆沙月饼,港伦:3.077102303000502 豆沙月饼:3.0582321390090783
工序生产日报,40,101,工序 生产 日报,工序:2.015001771345337 生产:2.0037012541201102 日报:2.051401535333668
菇品世家金钱菇,29,101,菇品 世家 金钱 菇,菇品:1.511251328509003 金钱:1.511251328509003 菇:1.511251328509003
皇子碗装香辣牛肉薯粉,35,101,皇子 碗装 香辣 牛肉 薯粉,碗装:1.195662787907468 香辣:1.189313048244552 薯粉:1.2160193267694563
惠宜盐带壳核桃,34,101,惠宜 盐 带 壳 核桃,惠宜:1.2022207524720663 盐:1.0570333517954789 核桃:1.14468433798171
加强型全功能补片,35,101,加强型 全功能 补片,加强型:2.038821426006052 全功能:2.038821426006052 补片:2.038821426006052
洁净洗衣液立袋,25,101,洁净 洗衣液 立袋,洁净:1.9337944104594205 洗衣液:1.8016559862633381 立袋:1.9719311941853352
金菜花菜子油,24,101,金 菜花 菜子油,金:1.82682517043272 菜花:2.051401535333668 菜子油:2.051401535333668
聚氯乙烯电气绝缘压敏胶粘带,74,101,聚氯乙烯 电气 绝缘 压敏 胶粘带,聚氯乙烯:1.264251738132834 绝缘:1.1657564411132753 胶粘带:1.2935724329712093
开古茶叶花草茶八宝茶A4腰身纤衡茶,22,101,开古 茶叶 花草 茶 八宝 茶 A4 腰身 纤衡 茶,茶叶:0.6080096633847282 花草:0.6045005314036013 茶:1.3476960654583081
康师傅甜酥饼干,79,101,康师傅 甜 酥 饼干,甜:1.457195551391594 酥:1.4127752570822307 饼干:1.3056616004990151
孔乙己清爽型特酿黄酒,35,101,孔乙己 清爽型 特酿 黄酒,清爽型:1.4945784848843349 特酿:1.471485154851581 黄酒:1.4503458078445655
哙哙旗舰店森蜂园东北黑蜂椴树蜂蜜,75,101,哙 哙 旗舰店 森蜂园 东北 黑蜂 椴树 蜂蜜,黑蜂:0.7741781648942856 椴树:0.7692755757501255 蜂蜜:0.7093289407173897
拉簧座六角手柄长,32,101,拉簧 座 六角 手柄 长,拉簧:1.195662787907468 手柄:1.1124307084624856 长:1.100055627718868
李锦记醇香芝麻油,73,101,李锦记 醇香 芝麻油,李锦记:1.9927713131791132 醇香:1.9927713131791132 芝麻油:2.0037012541201102
利莲黄金奇异果礼盒,40,101,利莲 黄金 奇异果 礼盒,黄金:1.4789483956390015 奇异果:1.5027759405900827 礼盒:1.1230800545485902
玛莉安妮牌半颗蔓越莓干,34,101,玛莉 安妮 牌 半颗 蔓越莓 干,玛莉:0.9910942068704599 牌:0.8891272833527943 蔓越莓:0.9809901032343873
模板固定支架,20,101,模板 固定 支架,模板:1.9927713131791132 固定:1.5990602090604087 支架:1.5416031337468132
欧普一控一四位转换器F11005个,20,101,欧普一控 四位 转换器 F11005,欧普一控:1.5483563297885712 四位:1.538551151500251 转换器:1.48664131030569
起转申刻动平衡皮带,75,101,起转 申刻 动平衡 皮带,起转:1.5200241584618204 申刻:1.5200241584618204 皮带:1.3852750332786488
全无敌电热蚊香液无香送,77,101,全 无敌 电热 蚊香 液无香 送,电热:0.9581232496488066 蚊香:0.9581232496488066 送:0.8447492870281336
速杀蟑尔剂盒,28,101,速杀 蟑尔剂 盒,速杀:1.9719311941853352 蟑尔剂:1.9719311941853352 盒:1.2115496069332763
太平猴魁绿茶,75,101,太平 猴魁 绿茶,太平:1.9619802064687746 猴魁:1.9619802064687746 绿茶:1.8612199158444636
唐人神常德酱板鸭,71,101,唐人 神 常德 酱 板鸭,神:1.1831587165112012 酱:1.1397458154636355 板鸭:1.1831587165112012
威王除重垢洁厕净,77,101,威王 重垢洁 厕净,威王:1.9927713131791132 重垢洁:2.0037012541201102 厕净:1.9821884137409198
维尔拉白葡萄酒,79,101,维尔 拉 白葡萄酒,维尔:2.0037012541201102 拉:1.9249049947653667 白葡萄酒:1.9249049947653667
西点台北优格芝士,45,101,西点 台北 优格 芝士,西点:1.538551151500251 台北:1.538551151500251 芝士:1.4789483956390015
西夫拉姆树龄干红葡萄酒,34,101,西夫 拉姆 树龄 干红 葡萄酒,西夫:1.2232928556036313 树龄:1.2232928556036313 葡萄酒:1.0538332835261908
新奇实用礼品情人节礼物送女友玫瑰香皂花礼盒,79,101,新奇 实用 礼品 情人节 礼物 送 女友 玫瑰 香皂 花 礼盒,送:0.46077233837898196 香皂:0.5137364571208112 花:0.5158755932490107
鑫成基SOGA金边彩色小果斗,39,101,鑫 成基 SOGA 金边 彩色 小果 斗,鑫:0.8367075832190102 金边:0.8408486599151891 斗:0.8408486599151891
许氏113#花旗参,31,101,许氏 113 花旗参,许氏:2.038821426006052 113:2.038821426006052 花旗参:2.038821426006052
炫迈夹心口香糖,29,101,炫迈 夹心 口香糖,炫迈:2.015001771345337 夹心:1.5098330738120382 口香糖:1.9619802064687746
燕赵衡湖烤鸭蛋美味组,26,101,燕赵 衡湖 烤鸭 蛋 美味 组,衡湖:1.0018506270600551 蛋:0.9963856565895566 美味:0.9910942068704599
玉蝴蝶针织裤,35,101,玉 蝴蝶 针织 裤,蝴蝶:1.471485154851581 针织:1.407027877526056 裤:1.277059012704579
越南白心火龙果,27,101,越南 白心 火龙果,越南:2.0644751063847613 白心:2.0644751063847613 火龙果:2.0644751063847613
长袖T恤布朗熊,25,101,长袖 T恤 布朗 熊,长袖:1.2703919509340387 布朗:1.457195551391594 熊:1.4503458078445655
贝蒂斯双瓶礼盒橄榄油,42,101,贝蒂斯 双瓶 礼盒 橄榄油,贝蒂斯:1.4945784848843349 礼盒:1.1230800545485902 橄榄油:1.4503458078445655
贝亲喂哺配件奶瓶奶嘴刷EA0级版,27,101,贝亲 哺 配件 奶瓶 奶嘴 刷 EA0 级版,贝亲:0.7556256642545015 配件:0.5367884164507163 级版:0.7600120792309102
不锈钢厨门拉手,77,101,不锈钢 厨 门拉手,不锈钢:1.4457091095962196 厨:2.0266988779490935 门拉手:2.0266988779490935
充电强光灯灯珠,33,101,充电 强光 灯灯 珠,强光:1.511251328509003 灯灯:1.5483563297885712 珠:1.4014096635630415
川汉子麻辣牛肉干,29,101,川 汉子 麻辣 牛肉干,汉子:1.471485154851581 麻辣:1.4186578814347794 牛肉干:1.4789483956390015
代收天燃气费,77,101,代收 天燃气 费,代收:1.9821884137409198 天燃气:1.9821884137409198 费:1.9523176941776905
等长双头螺柱,28,101,等长 双头 螺柱,等长:1.9719311941853352 双头:1.854051180770809 螺柱:1.9927713131791132
迪士尼公主学生书包,75,101,迪士尼 公主 学生 书包,迪士尼:1.3336909250291915 公主:1.4503458078445655 学生:1.3056616004990151
工序生产日报,40,101,工序 生产 日报,工序:2.015001771345337 生产:2.0037012541201102 日报:2.051401535333668
菇品世家金钱菇,29,101,菇品 世家 金钱 菇,菇品:1.511251328509003 金钱:1.511251328509003 菇:1.511251328509003
惠宜盐带壳核桃,34,101,惠宜 盐 带 壳 核桃,惠宜:1.2022207524720663 盐:1.0570333517954789 核桃:1.14468433798171
加强型全功能补片,35,101,加强型 全功能 补片,加强型:2.038821426006052 全功能:2.038821426006052 补片:2.038821426006052
洁净洗衣液立袋,25,101,洁净 洗衣液 立袋,洁净:1.9337944104594205 洗衣液:1.8016559862633381 立袋:1.9719311941853352
康师傅甜酥饼干,79,101,康师傅 甜 酥 饼干,甜:1.457195551391594 酥:1.4127752570822307 饼干:1.3056616004990151
哙哙旗舰店森蜂园东北黑蜂椴树蜂蜜,75,101,哙 哙 旗舰店 森蜂园 东北 黑蜂 椴树 蜂蜜,黑蜂:0.7741781648942856 椴树:0.7692755757501255 蜂蜜:0.7093289407173897
李锦记醇香芝麻油,73,101,李锦记 醇香 芝麻油,李锦记:1.9927713131791132 醇香:1.9927713131791132 芝麻油:2.0037012541201102
利莲黄金奇异果礼盒,40,101,利莲 黄金 奇异果 礼盒,黄金:1.4789483956390015 奇异果:1.5027759405900827 礼盒:1.1230800545485902
玛莉安妮牌半颗蔓越莓干,34,101,玛莉 安妮 牌 半颗 蔓越莓 干,玛莉:0.9910942068704599 牌:0.8891272833527943 蔓越莓:0.9809901032343873
茂林盐焗腰果,26,101,茂林 盐 焗 腰果,茂林:1.4945784848843349 盐:1.3212916897443485 腰果:1.48664131030569
模板固定支架,20,101,模板 固定 支架,模板:1.9927713131791132 固定:1.5990602090604087 支架:1.5416031337468132
年糕杨紫甘薯,79,101,年糕 杨紫 甘薯,年糕:2.038821426006052 杨紫:2.038821426006052 甘薯:2.038821426006052
起转申刻动平衡皮带,75,101,起转 申刻 动平衡 皮带,起转:1.5200241584618204 申刻:1.5200241584618204 皮带:1.3852750332786488
全无敌电热蚊香液无香送,77,101,全 无敌 电热 蚊香 液无香 送,电热:0.9581232496488066 蚊香:0.9581232496488066 送:0.8447492870281336
速杀蟑尔剂盒,28,101,速杀 蟑尔剂 盒,速杀:1.9719311941853352 蟑尔剂:1.9719311941853352 盒:1.2115496069332763
太平猴魁绿茶,75,101,太平 猴魁 绿茶,太平:1.9619802064687746 猴魁:1.9619802064687746 绿茶:1.8612199158444636
唐人神常德酱板鸭,71,101,唐人 神 常德 酱 板鸭,神:1.1831587165112012 酱:1.1397458154636355 板鸭:1.1831587165112012
威王除重垢洁厕净,77,101,威王 重垢洁 厕净,威王:1.9927713131791132 重垢洁:2.0037012541201102 厕净:1.9821884137409198
西夫拉姆树龄干红葡萄酒,34,101,西夫 拉姆 树龄 干红 葡萄酒,西夫:1.2232928556036313 树龄:1.2232928556036313 葡萄酒:1.0538332835261908
新奇实用礼品情人节礼物送女友玫瑰香皂花礼盒,79,101,新奇 实用 礼品 情人节 礼物 送 女友 玫瑰 香皂 花 礼盒,送:0.46077233837898196 香皂:0.5137364571208112 花:0.5158755932490107
鑫成基SOGA金边彩色小果斗,39,101,鑫 成基 SOGA 金边 彩色 小果 斗,鑫:0.8367075832190102 金边:0.8408486599151891 斗:0.8408486599151891
许氏113#花旗参,31,101,许氏 113 花旗参,许氏:2.038821426006052 113:2.038821426006052 花旗参:2.038821426006052
炫迈夹心口香糖,29,101,炫迈 夹心 口香糖,炫迈:2.015001771345337 夹心:1.5098330738120382 口香糖:1.9619802064687746
燕赵衡湖烤鸭蛋美味组,26,101,燕赵 衡湖 烤鸭 蛋 美味 组,衡湖:1.0018506270600551 蛋:0.9963856565895566 美味:0.9910942068704599
越南白心火龙果,27,101,越南 白心 火龙果,越南:2.0644751063847613 白心:2.0644751063847613 火龙果:2.0644751063847613
